,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Segment
0,0.871313672922252,0.0,0.2754530398740184,1,1,5,7,Recent Customers
1,0.002680965147453083,0.028708133971291867,0.015381539625736806,5,5,5,15,Champions
2,0.19839142091152814,0.014354066985645932,0.006413994959851326,2,4,4,10,Loyal Customers
3,0.04825737265415549,0.0,0.006272349180792047,4,1,4,9,Potential Loyalist
4,0.8284182305630027,0.0,0.0011934076220061225,1,1,2,4,Recent Customers
5,0.09383378016085792,0.03349282296650718,0.00894356231175904,3,5,5,13,Champions
6,0.5442359249329759,0.0,0.000317623440067419,1,1,1,3,Recent Customers
7,0.6193029490616622,0.0,0.0038521656315592366,1,1,4,6,Recent Customers
8,0.5710455764075067,0.0,0.0016395079591794636,1,1,2,4,Recent Customers
9,0.058981233243967826,0.00956937799043062,0.010033438967513974,4,3,5,12,Champions
10,0.08579088471849866,0.0,0.02215394944048668,4,1,5,10,Loyal Customers
11,0.002680965147453083,0.004784688995215311,0.004168575678709543,5,2,4,11,Potential Loyalist
12,0.15281501340482573,0.014354066985645932,0.022742480693312726,3,4,5,12,Champions
13,0.13672922252010725,0.00956937799043062,0.009500366908605317,3,3,5,11,Loyal Customers
14,0.7667560321715818,0.0,0.00067771563223374,1,1,1,3,Recent Customers
15,0.005361930294906166,0.0430622009569378,0.01865138372116345,5,5,5,15,Champions
16,0.2922252010723861,0.004784688995215311,0.001969979088957475,2,2,3,7,Recent Customers
17,0.01876675603217158,0.014354066985645932,0.004686194821938515,5,4,4,13,Champions
18,0.7774798927613941,0.004784688995215311,0.0022889586740499008,1,2,3,6,Recent Customers
19,0.00804289544235925,0.0,0.0006027707755886187,5,1,1,7,Needs Attention
20,0.13404825737265416,0.014354066985645932,0.012653868036097153,3,4,5,12,Champions
21,0.11796246648793565,0.004784688995215311,0.00673775674055825,3,2,4,9,Potential Loyalist
22,0.19034852546916892,0.00956937799043062,0.004632448653315871,3,3,4,10,Loyal Customers
23,0.8310991957104558,0.0,0.0013011854634672017,1,1,2,4,Recent Customers
24,0.064343163538874,0.0,0.0026513705879695234,4,1,3,8,Recent Customers
25,0.026809651474530828,0.004784688995215311,0.0016327272340544289,5,2,2,9,Potential Loyalist
26,0.8418230563002681,0.004784688995215311,0.005810439047669282,1,2,4,7,Recent Customers
27,0.34584450402144773,0.0,0.014305973868798392,2,1,5,8,Recent Customers
28,0.21715817694369974,0.004784688995215311,0.0030414764108208665,2,2,3,7,Recent Customers
29,0.05630026809651474,0.014354066985645932,0.009724309277866335,4,4,5,13,Champions
30,0.010723860589812333,0.019138755980861243,0.006585547305514706,5,4,4,13,Champions
31,0.4932975871313673,0.019138755980861243,0.006604283519675986,1,4,4,9,Potential Loyalist
32,0.07506702412868632,0.004784688995215311,0.0020887131546995313,4,2,3,9,Potential Loyalist
33,0.903485254691689,0.004784688995215311,0.0014343018040797267,1,2,2,5,Recent Customers
34,0.040214477211796246,0.02392344497607655,0.009923626908515384,4,4,5,13,Champions
35,0.21179624664879357,0.0,0.0019622704751311197,2,1,3,6,Recent Customers
36,0.05630026809651474,0.0,0.0016448254751985699,4,1,2,7,Recent Customers
37,0.19034852546916892,0.014354066985645932,0.005647987148884239,3,4,4,11,Loyal Customers
38,0.16890080428954424,0.004784688995215311,0.004541230056370666,3,2,4,9,Potential Loyalist
39,0.04825737265415549,0.05263157894736842,0.010772894886412504,4,5,5,14,Champions
40,0.09383378016085792,0.004784688995215311,0.00860045762043228,3,2,5,10,Loyal Customers
41,0.12064343163538874,0.0,0.005837347820007578,3,1,4,8,Recent Customers
42,0.3163538873994638,0.014354066985645932,0.003956553110457798,2,4,4,10,Loyal Customers
43,0.8096514745308311,0.0,0.0003008500673897013,1,1,1,3,Recent Customers
44,0.8632707774798928,0.0,0.0008051218885304463,1,1,1,3,Recent Customers
45,0.13136729222520108,0.0,0.0015263769136723043,3,1,2,6,Recent Customers
46,0.3967828418230563,0.0,0.006104044445583289,2,1,4,7,Recent Customers
47,0.05630026809651474,0.004784688995215311,0.0121885318523849,4,2,5,11,Loyal Customers
48,0.13136729222520108,0.019138755980861243,0.006095943263460221,3,4,4,11,Loyal Customers
49,0.08579088471849866,0.019138755980861243,0.010308665031536438,4,4,5,13,Champions
50,0.20911528150134048,0.00956937799043062,0.039516174563273124,2,3,5,10,Loyal Customers
51,0.8257372654155496,0.004784688995215311,0.002474357974179141,1,2,3,6,Recent Customers
52,0.19839142091152814,0.00956937799043062,0.004378492653369832,2,3,4,9,Potential Loyalist
53,0.1769436997319035,0.00956937799043062,0.00270550932488888,3,3,3,9,Potential Loyalist
54,0.579088471849866,0.00956937799043062,0.0020071303250372707,1,3,3,7,Needs Attention
55,0.06166219839142091,0.09569377990430622,0.4457953116067956,4,5,5,14,Champions
56,0.005361930294906166,0.03827751196172249,0.013022917923033915,5,5,5,15,Champions
57,0.3002680965147453,0.0,0.00238603010741882,2,1,3,6,Recent Customers
58,0.16890080428954424,0.0,0.0021426734514840185,3,1,3,7,Recent Customers
